0.566517,0.286689,0.090909,0.51831,1,0.838156,0.006392,0,0.129779,0.358945,0.519952,0.11566
0.635277,0.588737,0.727273,0.653761,1,0.049044,0.349398,0,0.245473,0.73403,0.840174,0.30445
0.923767,0.551195,1,0.596514,0,0.281511,0.234247,0,0.358652,0.677199,0.392405,0.273173
0.284006,0.776451,0,0.672733,1,0.347719,0.105134,0,0.260563,0.427143,0.919374,0.406986
0.721973,0.547782,0.909091,0.663689,1,0.271702,0.082392,0,0.15996,0.578313,0.30389,0.326935
0.772795,0.462457,0.636364,0.584161,1,0.115007,0.490458,0,0.141097,0.453285,0.2005,0.274962
0.083707,0.356655,0.818182,0.205272,1,0.850417,0.225611,0.000514,0.061871,0.082746,0.838219,0.056986
0.71151,0.122867,0,0.527686,1,0.047327,0.018195,0,0.038984,0.888611,0.08725,0.128188
0.730942,0.883959,0.727273,0.913413,0,0.089995,0.034892,0.000212,0.107897,0.759036,0.136262,0.379157
0.765321,0.377133,0.181818,0.635782,1,0.372241,0.150763,0,0.207746,0.197545,0.051751,0.3205
